url,scrapeDatetime,price,addressline1,addressline2,po,mls,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,publishTime,PriceHistory,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType,po3,CAGR
https://www.realtor.ca/real-estate/24188945/407-85-spinnaker-drive-halifax-halifax,"03/26/2022, 10:38:13",467000.0,407 85 Spinnaker Drive,"Halifax, Nova Scotia B3N3E3",B3N3E3,MLS  Number: 202205233,2 + 0,2.0,2.0,Single Family,Apartment,1.0,Halifax,Condominium/Strata,under 1/2 acre,1990.0,"Garage, Underground, Parking Space(s)",19 hours,"May 30, 2014 Sold $254,900",1084.0,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Poured Concrete,,,Full,B3N,0.0786197810203273
https://www.realtor.ca/real-estate/24188639/85-anchor-drive-halifax-halifax,"03/26/2022, 10:43:53",999000.0,85 Anchor Drive,"Halifax, Nova Scotia B3N3B9",B3N3B9,MLS  Number: 202205214,3 + 0,3.0,3.0,Single Family,Row / Townhouse,2.0,Halifax,Condominium/Strata,,1999.0,Parking Space(s),20 hours,"Sep 29, 2015 Sold $600,000",2065.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator, Central Vacuum",Poured Concrete,,2 Level,None,B3N,0.0755500019797368
https://www.realtor.ca/real-estate/24187723/6931-tupper-grove-halifax-halifax,"03/26/2022, 11:16:00",1398000.0,6931 Tupper Grove,"Halifax, Nova Scotia B3H2M7",B3H2M7,MLS  Number: 202205186,4 + 1,5.0,3.0,Single Family,House,2.0,Halifax,Freehold,under 1/2 acre,1936.0,"Garage, Attached Garage",23 hours,,3340.0,"Range - Gas, Dishwasher, Dryer, Washer, Refrigerator, Gas stove(s)",Poured Concrete,Detached,,Full (Finished),B3H,0.0
https://www.realtor.ca/real-estate/24187850/10-glenn-drive-wedgewood-wedgewood,"03/26/2022, 11:12:44",749900.0,10 Glenn Drive,"Wedgewood, Nova Scotia B3M2B9",B3M2B9,MLS  Number: 202205191,3 + 1,4.0,2.0,Single Family,House,2.0,Wedgewood,Freehold,under 1/2 acre,1984.0,,23 hours,,3600.0,None,Poured Concrete,Detached,Contemporary,Full (Finished),B3M,0.0
https://www.realtor.ca/real-estate/24187851/10-cranfield-court-west-bedford-west-bedford,"03/26/2022, 11:14:10",929000.0,10 Cranfield Court,"West Bedford, Nova Scotia B4B0S8",B4B0S8,MLS  Number: 202205192,3 + 1,4.0,4.0,Single Family,House,2.0,West Bedford,Freehold,1/2 - 1 acre,2017.0,"Garage, Attached Garage",23 hours,"Sep 7, 2017 Sold $589,900",3208.0,,Poured Concrete,Detached,2 Level,,B4B,0.0950840754578286
https://www.realtor.ca/real-estate/24187583/37-overdale-lane-dartmouth-dartmouth,"03/26/2022, 11:17:14",765000.0,37 Overdale Lane,"Dartmouth, Nova Scotia B3A3V2",B3A3V2,MLS  Number: 202205174,3 + 0,3.0,4.0,Single Family,House,2.0,Dartmouth,Freehold,under 1/2 acre,1970.0,Garage,1 day,,2925.0,"Range, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,Full (Partially finished),B3A,0.0
https://www.realtor.ca/real-estate/24187582/14-sunnybrae-avenue-fairview-fairview,"03/26/2022, 11:16:30",599900.0,14 Sunnybrae Avenue,"Fairview, Nova Scotia B3N2G1",B3N2G1,MLS  Number: 202205173,3 + 1,4.0,4.0,Single Family,House,2.0,Fairview,Freehold,under 1/2 acre,1945.0,"Garage, Attached Garage",1 day,,3250.0,"Range, Dishwasher, Dryer, Washer, Refrigerator, Central Vacuum",Poured Concrete,Detached,2 Level,Full (Finished),B3N,0.0
https://www.realtor.ca/real-estate/24187440/1762-preston-street-halifax-halifax,"03/26/2022, 11:31:52",869900.0,1762 Preston Street,"Halifax, Nova Scotia B3H3V6",B3H3V6,MLS  Number: 202205157,4 + 0,4.0,2.0,Single Family,House,2.0,Halifax,Freehold,under 1/2 acre,1925.0,"Garage, Detached Garage",1 day,,2262.0,"Stove, Dishwasher, Dryer, Washer, Freezer, Microwave, Refrigerator",Poured Concrete,Detached,,,B3H,0.0
https://www.realtor.ca/real-estate/24186523/9-viridian-drive-dartmouth-dartmouth,"03/26/2022, 11:40:15",750000.0,9 Viridian Drive,"Dartmouth, Nova Scotia B3A0B7",B3A0B7,MLS  Number: 202205145,2 + 2,4.0,4.0,Single Family,House,1.0,Dartmouth,Freehold,under 1/2 acre,2014.0,"Garage, Attached Garage",1 day,"Apr 15, 2014 Sold $444,433",2494.0,"Range, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Central Vacuum",Poured Concrete,Detached,Character,,B3A,0.0675958344611564
https://www.realtor.ca/real-estate/24184276/170-ochterloney-street-dartmouth-dartmouth,"03/26/2022, 11:54:18",749000.0,170 Ochterloney Street,"Dartmouth, Nova Scotia B2Y1E1",B2Y1E1,MLS  Number: 202205120,5 + 0,5.0,2.0,Single Family,House,2.0,Dartmouth,Freehold,under 1/2 acre,,Parking Space(s),1 day,,1500.0,"Stove, Microwave, Refrigerator",Poured Concrete,Detached,,,B2Y,0.0
