@relation 'home0_510-weka.filters.unsupervised.attribute.Remove-R1-2,4-7,22-23,28-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R12'

@attribute price numeric
@attribute ' bedrooms ' numeric
@attribute totalbedrooms numeric
@attribute bathrooms numeric
@attribute BuildingType {'Row / Townhouse',Apartment,House,'Mobile Home',Duplex}
@attribute storeys numeric
@attribute communityName {Dartmouth,Kingston,Bedford,'Robinsons Corner','New Glasgow',Stellarton,'Clam Harbour',Armdale,'Martins River','Hammonds Plains','Porters Lake','Eastern Passage',Cookville,Nictaux,Cleveland,Spryfield,Halifax,'Lower Sackville','Little Harbour',Kentville,Berwick,Waverley,'North End',Greenwood,Enfield,'Middle Sackville',Rockingham,Shubenacadie,'Addington Forks',Scotsburn,Lawrencetown,'Lower Onslow','Ostrea Lake',Somerset,Wolfville,'Jordan Falls','Franey Corner','Deep Cove','Port Hawkesbury','Halifax Peninsula',Aspotogan,'Cole Harbour',Lucasville,Plymouth,'Blue Rocks','Garden Lots','Pleasant Point',Wilmot,Burlington,Wittenburg,Hantsport,'West Dover',Bridgewater,Brooklyn,Liverpool,Centreville,'West Gore','Port Dufferin',Milford,'Gays River',Wedgewood,'West Bedford','Musquodoboit Harbour',Fairview,Springfield,Canning,Cambridge,Williamswood,'Beaver Bank','Lower South River','Louis Head',Hubley,Leminster,Truro,Timberlea,'Clayton Park','Mount Uniacke',Hubbards,Westville,'Fall River',Lunenburg,'Upper Tantallon','Bible Hill',Lakeview,'East Petpeswick',Parrsboro,Elmsdale,'Prospect Village','Sheet Harbour',Wentworth,Seabright,'West Porters Lake',Tennecape,'Herring Cove','Rhodes Corner','New Minas',Millville,Riverside,'Newport Corner',Prospect,'Lower Branch',Ardoise,Middleton,Paradise,Meadowvale,Falmouth,'Country Harbour','Dutch Settlement',Stewiacke,Boudreauville,Oakfield,Collingwood,Burntcoat,'Upper Stewiacke','Great Village',Belmont,'Chester Basin','Upper Nine Mile River','Central North River','Upper Branch','Poplar Grove',Thorburn,Coldbrook,Sackville,'Gaetz Brook','Scotch Village','Watt Section','Salmon River',Oakland,Valley,Poulamon,'Fort Ellis',Harmony,'Lower Five Islands','White Rock','Union Centre',Windsor,'Port Williams','Lower Wolfville','Tupper Lake','Truro Heights','Windsor Junction','West Chezzetcook',Noel,'Glen Haven','Martins Brook',Chaplin,'Currys Corner',Trenton,'Brierly Brook','Salmon River Bridge',Millwood,'Spencers Island',Portapique,'Brunello Estates',Springhill,'West Arichat','Pine Tree','Hatchet Lake','Stillwater Lake','Port Bickerton','Simms Settlement',Chester,'Moshers Corner','Colby Village','Antigonish Landing','Byers Lake',Tantallon,Woodlawn,'Lake Echo',Aylesford,'Mount William','Bedford West','Hunts Point','New Germany','Halfway Brook',Belnan,Walden,'Terence Bay','Upper Kennetcook','Manassette Lake',Antigonish,Wellington,'College Grant','Onslow Mountain',Brentwood,Tatamagouche,'Three Mile Plains',Beechville,'West St. Andrews','North Kentville'}
@attribute landSize {'under 1/2 acre','1/2 - 1 acre','1 - 3 acres','3 - 10 acres',Unknown,'10 - 49 acres','100+ acres','50 - 100 acres'}
@attribute Builtin numeric
@attribute totalFinishedArea numeric
@attribute style {Semi-detached,Detached,'Up and down','Side by side'}
@attribute po3 {B2W,B0P,B4A,B0J,B2H,B3N,B3Z,B3R,B3G,B4V,B3A,B0S,B0E,B4C,B4N,B3H,B2R,B3K,B3P,B2X,B2T,B4E,B3M,B2V,B0N,B2G,B0K,B0M,B4P,B0T,B0R,B9A,B4B,B2Y,A1A,B3V,B4G,B2N,B3T,B2S,B3E,B3L,B2Z,B6L,B0H,B4R,B3W,B3J}

@data
349900,3,3,2,House,2,Dartmouth,'under 1/2 acre',?,1572,Detached,B2Y
499000,2,2,1,House,1,'Blue Rocks','3 - 10 acres',1989,980,Detached,B0J
599000,3,3,2,House,2,'Garden Lots','under 1/2 acre',1880,1667,Detached,B0J
999000,3,3,3,'Row / Townhouse',2,Halifax,?,1999,2065,?,B3N
699900,3,3,2,House,2,'Pleasant Point','1 - 3 acres',2007,1604,Detached,B0J
437000,3,3,2,House,2,Wilmot,'10 - 49 acres',1989,2208,Detached,B0P
129900,1,1,1,House,1,Burlington,'1 - 3 acres',?,632,Detached,B0P
324900,1,1,1,House,1,Wittenburg,'10 - 49 acres',?,720,Detached,B0N
229000,3,3,2,House,2,'New Glasgow','under 1/2 acre',?,1352,Detached,B2H
350000,6,6,2,House,2,Hantsport,'under 1/2 acre',?,2156,Detached,B0P
485000,4,4,2,House,1,Kingston,'under 1/2 acre',2018,1950,Detached,B0P
729900,6,6,4,House,2,Dartmouth,'under 1/2 acre',2002,5400,Detached,B2W
279900,3,3,1,House,1,'West Dover','1/2 - 1 acre',1978,1560,Detached,B3Z
159900,2,2,1,'Mobile Home',1,Bridgewater,?,1997,976,?,B4V
469000,4,4,3,House,3,Brooklyn,'1/2 - 1 acre',1871,2787,Detached,B0J
799900,8,8,8,House,3,Liverpool,'under 1/2 acre',1895,4116,Detached,B0T
499900,2,4,2,House,1,Bedford,'under 1/2 acre',1977,1629,Detached,B4A
355000,4,4,3,House,1,Centreville,'under 1/2 acre',?,2092,Detached,B0P
250000,4,4,1,House,1,'West Gore','1 - 3 acres',1980,1230,Detached,B0N
699900,2,4,3,House,1,'Port Dufferin','100+ acres',2006,2640,Detached,B0J
224900,3,3,1,House,2,Milford,'under 1/2 acre',?,1450,Detached,B0N
204900,2,3,1,House,1,'Gays River','1 - 3 acres',1986,1676,Detached,B0N
749900,3,4,2,House,2,Wedgewood,'under 1/2 acre',1984,3600,Detached,B3M
929000,3,4,4,House,2,'West Bedford','1/2 - 1 acre',2017,3208,Detached,B4B
649900,3,6,2,Duplex,1,Bedford,'under 1/2 acre',1992,2400,'Up and down',B4A
1680000,2,3,3,House,2,'Musquodoboit Harbour','3 - 10 acres',2001,5028,Detached,B0J
1398000,4,5,3,House,2,Halifax,'under 1/2 acre',1936,3340,Detached,B3H
599900,3,4,4,House,2,Fairview,'under 1/2 acre',1945,3250,Detached,B3N
765000,3,3,4,House,2,Dartmouth,'under 1/2 acre',1970,2925,Detached,B3A
379900,2,3,2,House,1,'Lower Sackville','under 1/2 acre',1976,1553,Detached,B4C
499900,3,3,4,'Row / Townhouse',2,'Middle Sackville','under 1/2 acre',2015,1738,?,B4E
489000,2,3,2,Duplex,2,'Musquodoboit Harbour','under 1/2 acre',1979,1730,'Up and down',B0J
599900,3,3,2,House,1,Springfield,'1 - 3 acres',2010,2133,Detached,B0R
189900,4,4,1,House,2,Canning,'under 1/2 acre',?,1792,Detached,B0P
399900,2,2,2,House,1,Bedford,'1/2 - 1 acre',1952,851,Detached,B4A
324900,2,2,2,House,1,Cambridge,'under 1/2 acre',2013,1049,Semi-detached,B0P
499900,3,4,4,House,2,Halifax,'under 1/2 acre',1997,2168,Semi-detached,B3M
869900,4,4,2,House,2,Halifax,'under 1/2 acre',1925,2262,Detached,B3H
299900,3,3,1,House,2,'Eastern Passage','under 1/2 acre',?,1344,Detached,A1A
446000,3,3,2,House,1,Williamswood,'1 - 3 acres',2019,1784,Detached,B3V
525000,3,3,4,House,2,'Beaver Bank','1/2 - 1 acre',2005,2594,Detached,B4G
639900,3,3,2,House,2,Cambridge,'1/2 - 1 acre',2001,3632,Detached,B0P
750000,2,4,4,House,1,Dartmouth,'under 1/2 acre',2014,2494,Detached,B3A
244900,2,2,1,House,1,'Lower South River','under 1/2 acre',1963,1536,Detached,B2G
89900,2,2,1,House,2,'New Glasgow','under 1/2 acre',?,825,Detached,B2H
790000,2,2,2,House,2,'Louis Head','10 - 49 acres',?,1780,Detached,B0T
450000,4,4,2,House,2,Dartmouth,'under 1/2 acre',1976,1982,Detached,B2V
499900,3,3,3,House,2,Bedford,'under 1/2 acre',1996,1902,Semi-detached,B4A
499900,3,3,2,House,1,Hubley,'under 1/2 acre',1980,1795,Detached,B3Z
798000,3,3,2,House,2,Leminster,'50 - 100 acres',1922,1400,Detached,B0N
599000,4,5,6,House,2,Kingston,'under 1/2 acre',2007,4064,Detached,B0P
320000,3,3,2,House,2,Truro,'under 1/2 acre',1955,1704,Detached,B2N
749000,5,5,2,House,2,Dartmouth,'under 1/2 acre',?,1500,Detached,B2Y
519000,3,3,4,House,2,Hubley,'1/2 - 1 acre',2008,2618,Detached,B3Z
199900,3,3,2,House,2,Bridgewater,'under 1/2 acre',?,1186,Detached,B4V
839900,3,3,4,House,2,Timberlea,'under 1/2 acre',?,2319,Detached,B3T
369900,3,3,2,House,1,'Lower Sackville','under 1/2 acre',1973,2050,Detached,B4C
779000,3,4,4,House,2,'West Bedford','under 1/2 acre',2015,2892,Detached,B4B
1285900,4,5,4,House,2,'Middle Sackville','1 - 3 acres',?,3879,Detached,B0N
749000,4,4,4,House,2,'Hammonds Plains','1 - 3 acres',2006,3845,Detached,B4B
300000,3,3,3,'Row / Townhouse',2,'Clayton Park','under 1/2 acre',1979,1798,?,B3M
1200000,1,3,3,House,1,'Mount Uniacke','1 - 3 acres',2011,3314,Detached,B0N
475000,3,5,4,House,1,Halifax,'under 1/2 acre',1975,2826,Detached,B3M
350000,2,4,2,House,1,Centreville,'under 1/2 acre',1988,2106,Detached,B0P
729900,2,2,2,Apartment,1,Halifax,'under 1/2 acre',2007,1281,?,B3K
699900,4,4,3,House,3,Hubbards,'1 - 3 acres',2020,2717,Detached,B0J
699000,3,3,2,House,2,Bridgewater,'under 1/2 acre',?,2820,Detached,B4V
1195000,5,5,3,House,3,Halifax,'under 1/2 acre',1918,2682,Detached,B3H
365000,0,3,2,House,1,'Eastern Passage','under 1/2 acre',?,1458,Detached,B3G
499000,3,3,3,House,2,Westville,'1/2 - 1 acre',2011,1630,Detached,B0K
699900,3,3,3,House,2,'Beaver Bank','1 - 3 acres',2004,1856,Detached,B4E
800000,3,4,4,House,2,'Fall River','1 - 3 acres',2010,3278,Detached,B2T
700000,3,4,3,House,1,'Fall River','1 - 3 acres',1999,3653,Detached,B2T
475000,3,4,1,House,1,'Fall River','under 1/2 acre',1979,2038,Detached,B2T
849900,2,2,2,Apartment,1,Halifax,'under 1/2 acre',2018,1425,?,B3H
619000,2,2,1,House,1,Halifax,'under 1/2 acre',1953,1592,Detached,B3N
549900,3,3,4,House,2,Halifax,'under 1/2 acre',2018,1905,Detached,B3P
425000,3,4,3,House,1,'Cole Harbour','under 1/2 acre',1983,2289,Detached,B2V
439000,3,3,1,House,2,Lunenburg,'1/2 - 1 acre',1855,1371,Detached,B0J
799900,3,4,4,House,2,'Upper Tantallon','1/2 - 1 acre',2014,3500,Detached,B3Z
525000,4,4,3,House,2,Nictaux,'1/2 - 1 acre',1974,2448,Detached,B0S
489900,3,3,3,House,2,'Hammonds Plains','1 - 3 acres',1996,1728,Detached,B4B
169000,3,3,1,'Mobile Home',1,'Middle Sackville','under 1/2 acre',2006,896,?,B4C
749900,4,4,3,House,2,Bedford,'under 1/2 acre',1984,2741,Detached,B4A
349900,2,2,2,'Row / Townhouse',1,'Bible Hill','under 1/2 acre',2019,1050,?,B2N
374900,3,5,2,House,1,Greenwood,'under 1/2 acre',2003,2362,Detached,B0P
799000,4,4,4,House,2,'Middle Sackville','1 - 3 acres',2016,3494,Detached,B4E
499900,3,4,4,House,2,Halifax,'under 1/2 acre',2019,1957,Detached,B3P
439000,3,3,2,House,2,Dartmouth,'under 1/2 acre',1959,1582,Detached,B3A
499000,2,2,2,Apartment,1,Halifax,?,2003,1550,?,B3M
479900,2,2,2,Apartment,2,'Halifax Peninsula',?,2016,953,?,B3K
399900,1,1,1,Apartment,1,Dartmouth,'under 1/2 acre',1986,911,?,B2Y
1060000,3,3,4,House,2,'Cole Harbour','under 1/2 acre',1993,3859,Detached,B2V
349900,2,2,2,Apartment,1,Halifax,Unknown,2010,1224,?,B3N
958000,4,4,4,House,2,Halifax,'under 1/2 acre',2009,4080,Detached,B3N
224900,2,2,1,House,1,Dartmouth,'under 1/2 acre',1962,664,Detached,B2Y
349900,3,3,1,House,2,Dartmouth,'under 1/2 acre',1957,1313,Detached,B2Y
