@relation 'home0_510-weka.filters.unsupervised.attribute.Remove-R1-2,4-8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R10-12,14-15-weka.filters.unsupervised.attribute.Remove-R12-13-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9'

@attribute price numeric
@attribute totalbedrooms numeric
@attribute bathrooms numeric
@attribute BuildingType {'Row / Townhouse',Apartment,House,'Mobile Home',Duplex}
@attribute storeys numeric
@attribute landSize {'under 1/2 acre','1/2 - 1 acre','1 - 3 acres','3 - 10 acres',Unknown,'10 - 49 acres','100+ acres','50 - 100 acres'}
@attribute Builtin numeric
@attribute totalFinishedArea numeric
@attribute po3 {B2W,B0P,B4A,B0J,B2H,B3N,B3Z,B3R,B3G,B4V,B3A,B0S,B0E,B4C,B4N,B3H,B2R,B3K,B3P,B2X,B2T,B4E,B3M,B2V,B0N,B2G,B0K,B0M,B4P,B0T,B0R,B9A,B4B,B2Y,A1A,B3V,B4G,B2N,B3T,B2S,B3E,B3L,B2Z,B6L,B0H,B4R,B3W,B3J}

@data
469000,4,2,House,1,'under 1/2 acre',1983,2100,B4C
309900,3,2,House,1,'under 1/2 acre',1993,1340,B4C
509900,3,2,Apartment,1,'under 1/2 acre',2003,1632,B3M
484500,3,3,House,2,'under 1/2 acre',2007,2760,B2H
500000,3,4,House,2,'1 - 3 acres',2002,2430,B4B
467000,2,2,Apartment,1,'under 1/2 acre',1990,1084,B3N
349900,3,2,House,2,'under 1/2 acre',?,1572,B2Y
499000,2,1,House,1,'3 - 10 acres',1989,980,B0J
599000,3,2,House,2,'under 1/2 acre',1880,1667,B0J
999000,3,3,'Row / Townhouse',2,?,1999,2065,B3N
699900,3,2,House,2,'1 - 3 acres',2007,1604,B0J
437000,3,2,House,2,'10 - 49 acres',1989,2208,B0P
129900,1,1,House,1,'1 - 3 acres',?,632,B0P
324900,1,1,House,1,'10 - 49 acres',?,720,B0N
229000,3,2,House,2,'under 1/2 acre',?,1352,B2H
350000,6,2,House,2,'under 1/2 acre',?,2156,B0P
485000,4,2,House,1,'under 1/2 acre',2018,1950,B0P
729900,6,4,House,2,'under 1/2 acre',2002,5400,B2W
279900,3,1,House,1,'1/2 - 1 acre',1978,1560,B3Z
159900,2,1,'Mobile Home',1,?,1997,976,B4V
469000,4,3,House,3,'1/2 - 1 acre',1871,2787,B0J
799900,8,8,House,3,'under 1/2 acre',1895,4116,B0T
499900,4,2,House,1,'under 1/2 acre',1977,1629,B4A
355000,4,3,House,1,'under 1/2 acre',?,2092,B0P
250000,4,1,House,1,'1 - 3 acres',1980,1230,B0N
699900,4,3,House,1,'100+ acres',2006,2640,B0J
224900,3,1,House,2,'under 1/2 acre',?,1450,B0N
204900,3,1,House,1,'1 - 3 acres',1986,1676,B0N
749900,4,2,House,2,'under 1/2 acre',1984,3600,B3M
929000,4,4,House,2,'1/2 - 1 acre',2017,3208,B4B
649900,6,2,Duplex,1,'under 1/2 acre',1992,2400,B4A
1680000,3,3,House,2,'3 - 10 acres',2001,5028,B0J
1398000,5,3,House,2,'under 1/2 acre',1936,3340,B3H
599900,4,4,House,2,'under 1/2 acre',1945,3250,B3N
765000,3,4,House,2,'under 1/2 acre',1970,2925,B3A
379900,3,2,House,1,'under 1/2 acre',1976,1553,B4C
499900,3,4,'Row / Townhouse',2,'under 1/2 acre',2015,1738,B4E
489000,3,2,Duplex,2,'under 1/2 acre',1979,1730,B0J
599900,3,2,House,1,'1 - 3 acres',2010,2133,B0R
189900,4,1,House,2,'under 1/2 acre',?,1792,B0P
399900,2,2,House,1,'1/2 - 1 acre',1952,851,B4A
324900,2,2,House,1,'under 1/2 acre',2013,1049,B0P
499900,4,4,House,2,'under 1/2 acre',1997,2168,B3M
869900,4,2,House,2,'under 1/2 acre',1925,2262,B3H
299900,3,1,House,2,'under 1/2 acre',?,1344,A1A
446000,3,2,House,1,'1 - 3 acres',2019,1784,B3V
525000,3,4,House,2,'1/2 - 1 acre',2005,2594,B4G
639900,3,2,House,2,'1/2 - 1 acre',2001,3632,B0P
750000,4,4,House,1,'under 1/2 acre',2014,2494,B3A
244900,2,1,House,1,'under 1/2 acre',1963,1536,B2G
89900,2,1,House,2,'under 1/2 acre',?,825,B2H
790000,2,2,House,2,'10 - 49 acres',?,1780,B0T
450000,4,2,House,2,'under 1/2 acre',1976,1982,B2V
499900,3,3,House,2,'under 1/2 acre',1996,1902,B4A
499900,3,2,House,1,'under 1/2 acre',1980,1795,B3Z
798000,3,2,House,2,'50 - 100 acres',1922,1400,B0N
599000,5,6,House,2,'under 1/2 acre',2007,4064,B0P
320000,3,2,House,2,'under 1/2 acre',1955,1704,B2N
749000,5,2,House,2,'under 1/2 acre',?,1500,B2Y
519000,3,4,House,2,'1/2 - 1 acre',2008,2618,B3Z
199900,3,2,House,2,'under 1/2 acre',?,1186,B4V
839900,3,4,House,2,'under 1/2 acre',?,2319,B3T
369900,3,2,House,1,'under 1/2 acre',1973,2050,B4C
779000,4,4,House,2,'under 1/2 acre',2015,2892,B4B
1285900,5,4,House,2,'1 - 3 acres',?,3879,B0N
749000,4,4,House,2,'1 - 3 acres',2006,3845,B4B
300000,3,3,'Row / Townhouse',2,'under 1/2 acre',1979,1798,B3M
1200000,3,3,House,1,'1 - 3 acres',2011,3314,B0N
475000,5,4,House,1,'under 1/2 acre',1975,2826,B3M
350000,4,2,House,1,'under 1/2 acre',1988,2106,B0P
729900,2,2,Apartment,1,'under 1/2 acre',2007,1281,B3K
699900,4,3,House,3,'1 - 3 acres',2020,2717,B0J
699000,3,2,House,2,'under 1/2 acre',?,2820,B4V
1195000,5,3,House,3,'under 1/2 acre',1918,2682,B3H
365000,3,2,House,1,'under 1/2 acre',?,1458,B3G
499000,3,3,House,2,'1/2 - 1 acre',2011,1630,B0K
699900,3,3,House,2,'1 - 3 acres',2004,1856,B4E
800000,4,4,House,2,'1 - 3 acres',2010,3278,B2T
700000,4,3,House,1,'1 - 3 acres',1999,3653,B2T
475000,4,1,House,1,'under 1/2 acre',1979,2038,B2T
849900,2,2,Apartment,1,'under 1/2 acre',2018,1425,B3H
619000,2,1,House,1,'under 1/2 acre',1953,1592,B3N
549900,3,4,House,2,'under 1/2 acre',2018,1905,B3P
425000,4,3,House,1,'under 1/2 acre',1983,2289,B2V
439000,3,1,House,2,'1/2 - 1 acre',1855,1371,B0J
799900,4,4,House,2,'1/2 - 1 acre',2014,3500,B3Z
525000,4,3,House,2,'1/2 - 1 acre',1974,2448,B0S
489900,3,3,House,2,'1 - 3 acres',1996,1728,B4B
169000,3,1,'Mobile Home',1,'under 1/2 acre',2006,896,B4C
749900,4,3,House,2,'under 1/2 acre',1984,2741,B4A
349900,2,2,'Row / Townhouse',1,'under 1/2 acre',2019,1050,B2N
374900,5,2,House,1,'under 1/2 acre',2003,2362,B0P
799000,4,4,House,2,'1 - 3 acres',2016,3494,B4E
499900,4,4,House,2,'under 1/2 acre',2019,1957,B3P
439000,3,2,House,2,'under 1/2 acre',1959,1582,B3A
499000,2,2,Apartment,1,?,2003,1550,B3M
479900,2,2,Apartment,2,?,2016,953,B3K
399900,1,1,Apartment,1,'under 1/2 acre',1986,911,B2Y
1060000,3,4,House,2,'under 1/2 acre',1993,3859,B2V
349900,2,2,Apartment,1,Unknown,2010,1224,B3N
958000,4,4,House,2,'under 1/2 acre',2009,4080,B3N
