@relation 'home0_510-weka.filters.unsupervised.attribute.Remove-R1-2,4-8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R10-12,14-15-weka.filters.unsupervised.attribute.Remove-R12-13-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9'

@attribute price numeric
@attribute totalbedrooms numeric
@attribute bathrooms numeric
@attribute BuildingType {'Row / Townhouse',Apartment,House,'Mobile Home',Duplex}
@attribute storeys numeric
@attribute landSize {'under 1/2 acre','1/2 - 1 acre','1 - 3 acres','3 - 10 acres',Unknown,'10 - 49 acres','100+ acres','50 - 100 acres'}
@attribute Builtin numeric
@attribute totalFinishedArea numeric
@attribute po3 {B2W,B0P,B4A,B0J,B2H,B3N,B3Z,B3R,B3G,B4V,B3A,B0S,B0E,B4C,B4N,B3H,B2R,B3K,B3P,B2X,B2T,B4E,B3M,B2V,B0N,B2G,B0K,B0M,B4P,B0T,B0R,B9A,B4B,B2Y,A1A,B3V,B4G,B2N,B3T,B2S,B3E,B3L,B2Z,B6L,B0H,B4R,B3W,B3J}

@data
329900,2,2,House,1,'under 1/2 acre',1970,1920,B4C
400000,3,1,House,1,'1 - 3 acres',2013,1728,B0P
274500,2,1,House,1,'1/2 - 1 acre',1992,1587,B6L
549000,3,3,House,1,'1/2 - 1 acre',1988,2160,B2T
749000,4,3,House,2,'1 - 3 acres',2017,2534,B4B
389000,3,2,House,1,'under 1/2 acre',1986,1721,B4C
599900,5,3,House,1,'under 1/2 acre',1969,2596,B3A
599900,4,4,House,2,'under 1/2 acre',2011,2824,B2W
139900,2,0,House,2,'1/2 - 1 acre',?,753,B0J
575000,3,4,House,2,'under 1/2 acre',2020,1950,B3P
950000,4,5,House,2,'1/2 - 1 acre',?,3850,B4R
239900,3,1,House,1,'under 1/2 acre',1995,1176,B2N
289900,4,2,House,2,'under 1/2 acre',?,1525,B0P
229900,3,2,House,3,'1 - 3 acres',?,2018,B0N
2099000,4,4,House,2,'1 - 3 acres',?,3645,B3Z
829900,3,3,House,2,'under 1/2 acre',1917,1730,B3H
399900,2,2,House,1,'under 1/2 acre',2021,1340,B4E
379900,3,2,House,1,'under 1/2 acre',1955,1403,B4A
329900,4,2,House,1,'under 1/2 acre',1984,2025,B4C
574900,4,2,House,1,'3 - 10 acres',1997,2310,B0P
949000,3,2,House,2,'1 - 3 acres',1872,1580,B0J
449900,3,4,'Row / Townhouse',2,'under 1/2 acre',2008,2178,B2Y
99900,2,1,House,1,'3 - 10 acres',?,840,B0N
499900,1,1,Apartment,1,?,2018,625,B3H
400000,4,1,House,1,'under 1/2 acre',1956,2275,B2X
699900,4,4,House,2,Unknown,?,3395,B0N
439900,5,2,House,1,'under 1/2 acre',1964,1924,B3T
929000,4,4,House,2,'1/2 - 1 acre',2005,2727,B2Z
219900,4,2,House,2,'under 1/2 acre',1977,1896,B0K
174900,4,1,House,1,'under 1/2 acre',1971,1520,B9A
429000,5,3,House,1,'1 - 3 acres',2006,1800,B2G
499900,5,3,House,1,'3 - 10 acres',2011,2548,B6L
339000,4,2,House,1,'under 1/2 acre',1998,1599,B0J
575000,4,3,House,1,'3 - 10 acres',2021,2053,B4B
479900,4,2,House,1,'under 1/2 acre',1967,2033,B3M
282500,3,1,House,1,'under 1/2 acre',1978,1440,B3G
999900,9,4,House,2,'under 1/2 acre',1974,2572,B3H
499900,3,4,House,2,'under 1/2 acre',2005,2078,B4E
104900,4,1,House,2,'1 - 3 acres',1904,?,B0M
235000,6,2,House,1,'1 - 3 acres',?,1747,B0M
350000,4,2,House,1,'under 1/2 acre',1969,1898,B3W
549900,4,4,House,2,'under 1/2 acre',1999,2568,B2W
575000,4,4,House,2,'under 1/2 acre',2013,2446,B3P
449900,4,3,House,2,'1/2 - 1 acre',2015,2182,B0P
349900,4,2,House,1,'under 1/2 acre',1980,2300,B4N
335000,4,2,House,1,'under 1/2 acre',1968,1515,B4N
989900,4,4,House,3,'under 1/2 acre',?,2900,B3T
449900,3,3,House,1,'under 1/2 acre',1982,2446,B2V
300000,2,1,Apartment,2,?,1986,1130,B3M
409900,3,3,'Row / Townhouse',2,'under 1/2 acre',1993,2098,B2W
365000,2,2,Apartment,1,?,1991,1100,B3A
645000,3,2,?,2,'under 1/2 acre',2019,1319,B3K
169900,4,2,House,2,'under 1/2 acre',1921,1154,B2H
95000,2,1,House,1,'1 - 3 acres',1940,967,B0M
74000,2,1,House,2,'under 1/2 acre',1923,864,B0E
249900,4,2,House,2,'3 - 10 acres',?,1636,B0K
729900,4,4,House,2,'1/2 - 1 acre',?,3939,B4A
349900,4,3,House,2,'under 1/2 acre',1987,1866,B4A
599900,3,4,'Row / Townhouse',2,'under 1/2 acre',2011,2197,B4B
899900,4,4,House,2,'1 - 3 acres',2016,3479,B3T
449900,2,3,'Row / Townhouse',2,'3 - 10 acres',2014,1755,B3G
375000,3,2,House,2,'under 1/2 acre',1952,1530,B2W
539000,3,3,House,2,'1/2 - 1 acre',2003,2045,B3Z
257000,3,2,'Row / Townhouse',2,'under 1/2 acre',?,1450,B3P
310000,4,2,House,1,'under 1/2 acre',2004,1600,B0P
469000,4,2,House,2,'1/2 - 1 acre',1929,1650,B0T
399900,4,2,House,1,'1/2 - 1 acre',1989,1976,B4B
364900,3,2,House,2,'1 - 3 acres',1954,1668,B0J
259900,4,2,House,1,'1/2 - 1 acre',1989,1896,B0J
450000,3,2,House,1,'under 1/2 acre',2014,2744,B0J
459000,2,2,House,2,'under 1/2 acre',1943,1292,B3P
239000,1,1,Apartment,1,?,1991,722,B3K
289900,2,1,House,2,'under 1/2 acre',1940,1196,B2Y
157000,3,1,House,2,'1 - 3 acres',?,1300,B0P
269900,4,2,House,1,'under 1/2 acre',1976,1605,B4N
99000,2,1,'Mobile Home',1,'under 1/2 acre',?,694,B4N
415900,3,3,House,2,'1 - 3 acres',2015,1720,B0P
525000,5,4,House,2,'under 1/2 acre',1985,3374,B2V
459900,4,2,House,1,'1 - 3 acres',2009,2002,B3Z
375000,3,3,House,1,'under 1/2 acre',2001,2200,B4R
499000,3,2,House,1,'under 1/2 acre',2010,1200,B2G
549900,2,1,House,1,'3 - 10 acres',1975,1128,B0K
549900,3,1,House,2,'1 - 3 acres',2004,1600,B0K
499900,2,2,House,1,'under 1/2 acre',1952,877,B3K
585000,4,4,House,2,'under 1/2 acre',2011,2564,B3R
749000,3,2,House,1,'1 - 3 acres',2020,1824,B3Z
349900,3,1,House,1,'under 1/2 acre',?,1128,B2W
219900,2,1,House,1,'under 1/2 acre',?,600,B3A
285000,2,1,House,1,'under 1/2 acre',2008,896,B2H
169900,3,1,'Mobile Home',1,'under 1/2 acre',2000,1152,B3E
999900,6,4,House,2,'1 - 3 acres',1993,4241,B4B
939000,4,4,House,2,'under 1/2 acre',2020,2976,B4B
474900,3,4,House,2,'under 1/2 acre',2011,1950,B4E
799900,4,4,House,2,'under 1/2 acre',2020,2895,B4A
249000,2,2,House,2,'3 - 10 acres',?,970,B0P
420000,3,2,House,2,'1 - 3 acres',1982,2468,B2H
299900,1,1,Apartment,1,'1/2 - 1 acre',1992,695,B3J
349000,3,2,House,2,'under 1/2 acre',1975,1377,B2W
284500,3,2,House,3,'under 1/2 acre',1959,1558,B0K
599000,3,3,House,2,'1 - 3 acres',2008,2435,B0N
199900,1,1,House,1,'under 1/2 acre',?,1400,B4C
599900,5,3,House,1,'1/2 - 1 acre',1994,2820,B4C
479900,3,2,House,1,'3 - 10 acres',2012,1287,B0P
529900,3,3,House,1,'under 1/2 acre',1978,1763,B4A
424900,5,2,House,1,'under 1/2 acre',1977,1960,B2T
439900,3,2,House,1,'1 - 3 acres',?,2430,B2Z
799900,4,4,House,2,'under 1/2 acre',?,2589,B4B
225000,4,1,House,1,'1 - 3 acres',1972,1248,B0S
279900,4,2,House,2,'under 1/2 acre',1963,1832,B9A
459900,3,2,House,1,'under 1/2 acre',?,1330,B0N
349900,6,3,House,1,'under 1/2 acre',1972,2986,B6L
1252500,3,3,Apartment,1,?,?,1770,B3J
399900,3,2,House,1,'under 1/2 acre',1977,1300,B2W
285000,3,3,House,1,'1/2 - 1 acre',1980,1725,B0T
223800,4,2,House,2,'under 1/2 acre',?,1406,B2H
429900,2,1,House,1,'10 - 49 acres',1998,1170,B3E
299000,5,2,House,1,'under 1/2 acre',1966,2070,B2N
279900,5,2,House,1,'1/2 - 1 acre',?,1646,B2N
289900,2,1,House,1,'under 1/2 acre',1952,930,B0J
269900,3,1,House,1,'10 - 49 acres',1968,1050,B0R
348500,4,3,House,1,'under 1/2 acre',2020,2232,B2N
229500,3,1,House,2,'1 - 3 acres',1835,1458,B0N
299900,3,1,House,1,'1/2 - 1 acre',1968,1419,B3E
599900,3,2,House,1,'1 - 3 acres',2016,1651,B2S
649000,3,4,'Row / Townhouse',2,'under 1/2 acre',2005,2340,B4A
279900,3,1,House,1,'1 - 3 acres',?,1450,B0P
239000,4,2,House,2,'1 - 3 acres',?,2040,B0P
145000,3,0,House,2,'1 - 3 acres',2017,847,B0J
1299900,3,4,House,2,'1/2 - 1 acre',1995,3570,B3T
449900,2,2,House,2,'10 - 49 acres',2017,1568,B0N
199000,3,1,'Mobile Home',1,'50 - 100 acres',1996,1126,B0H
225000,2,2,'Mobile Home',1,'under 1/2 acre',2010,896,B2G
129900,3,1,House,2,'1 - 3 acres',1859,1800,B2S
429900,3,3,House,2,'1/2 - 1 acre',1987,2044,B2T
299500,5,2,House,2,'under 1/2 acre',1913,2800,B0S
549000,6,2,House,3,'10 - 49 acres',1988,3320,B0K
379900,3,2,House,1,'under 1/2 acre',1970,2280,B2N
124500,2,2,House,1,'1/2 - 1 acre',1985,912,B6L
239900,3,2,House,1,'under 1/2 acre',?,2184,B2N
229900,3,2,House,1,'under 1/2 acre',?,1120,B0M
359900,3,2,House,1,'under 1/2 acre',2004,1200,B4N
299900,3,1,House,1,'under 1/2 acre',1962,1261,B2T
469000,3,2,House,1,'under 1/2 acre',2012,1803,B4V
3300000,5,5,House,2,'3 - 10 acres',2003,7290,B0J
450000,2,2,Apartment,1,Unknown,1983,1050,B3L
399000,6,2,House,1,'1/2 - 1 acre',1972,1534,B2G
599900,3,3,House,2,'10 - 49 acres',1922,2428,B0N
499000,3,3,House,1,'10 - 49 acres',2008,2220,B0K
197000,2,1,House,1,'1 - 3 acres',1987,810,B0M
229900,2,1,House,1,'1/2 - 1 acre',?,720,B0N
709900,3,2,House,2,'1 - 3 acres',2019,2599,B0N
489900,3,3,House,2,'under 1/2 acre',2000,2080,B3T
369900,3,2,House,2,'1/2 - 1 acre',1975,2155,B0P
696900,4,3,House,1,'1 - 3 acres',?,2488,B0N
379900,3,2,House,1,'under 1/2 acre',1979,2170,B2G
399900,3,2,House,2,'under 1/2 acre',?,1920,B4A
324900,4,3,House,1,'under 1/2 acre',1994,2200,B0P
189900,2,1,House,2,'under 1/2 acre',1941,938,B4N
2000000,7,5,House,2,'under 1/2 acre',1918,3870,B3H
889000,3,4,'Row / Townhouse',3,'under 1/2 acre',2006,2400,B3A
415000,4,3,House,1,'under 1/2 acre',1995,2576,B0P
259900,5,2,House,1,'1 - 3 acres',1972,1920,B4G
359000,4,2,Duplex,1,'under 1/2 acre',1991,2100,B4N
