price,totalbedrooms,bathrooms,BuildingType,storeys,communityName,title,landSize,Builtin,totalFinishedArea,style,po3,CAGR
499000,3,2,House,2,'Jordan Falls',Freehold,'3 - 10 acres',1880,2288,Detached,B0T,0.506025
149999,1,1,House,1,'Franey Corner',Freehold,'3 - 10 acres',1995,760,Detached,B0R,0.65144
529900,3,2,House,1,'Ostrea Lake',Freehold,'3 - 10 acres',2019,1569,Detached,B0J,0
2150000,3,2,House,2,'Deep Cove',Freehold,'1 - 3 acres',?,2774,Detached,B0J,0
2585000,3,3,House,2,'Deep Cove',Freehold,'1 - 3 acres',?,3019,Detached,B0J,0
1752500,4,3,House,2,'Deep Cove',Freehold,'1 - 3 acres',?,2348,Detached,B0J,0
2265000,3,2,House,2,'Deep Cove',Freehold,'1 - 3 acres',?,2774,Detached,B0J,0
2345000,3,3,House,2,'Deep Cove',Freehold,'1 - 3 acres',?,3019,Detached,B0J,0
1635000,4,3,House,2,'Deep Cove',Freehold,'1 - 3 acres',?,2348,Detached,B0J,0
2525000,3,3,House,2,'Deep Cove',Freehold,'1 - 3 acres',?,3019,Detached,B0J,0
209000,3,2,House,2,'Port Hawkesbury',Freehold,'1/2 - 1 acre',1920,1368,Detached,B9A,0.034248
1199900,4,3,House,2,'Halifax Peninsula',Freehold,'under 1/2 acre',?,2686,Detached,B3H,0.066007
189900,6,3,Duplex,2,'New Glasgow',Freehold,Unknown,?,2371,'Side by side',B0K,0
195000,3,1,House,2,Kentville,Freehold,'under 1/2 acre',1952,1200,Detached,B4N,0
1695000,3,3,House,1,Aspotogan,Freehold,'1 - 3 acres',?,2508,Detached,B0J,0
719900,2,2,Apartment,1,Halifax,Condominium/Strata,'under 1/2 acre',?,877,?,B3K,-0.548687
425000,3,2,House,1,'Lower Sackville',Freehold,'1 - 3 acres',1991,1568,Detached,B4C,0.158272
419900,2,1,Apartment,1,Halifax,Condominium/Strata,?,1902,1150,?,B3H,0.082494
389900,3,2,House,1,'Cole Harbour',Freehold,'1 - 3 acres',1960,1475,Detached,B2V,0.772273
319000,4,2,House,1,'Middle Sackville',Freehold,'under 1/2 acre',1978,2000,Detached,B4E,0
699900,4,4,House,2,Lucasville,Freehold,'1 - 3 acres',2021,2352,Detached,B4B,0.628053
469000,4,2,House,1,'Lower Sackville',Freehold,'under 1/2 acre',1983,2100,Detached,B4C,0
309900,3,2,House,1,'Lower Sackville',Freehold,'under 1/2 acre',1993,1340,Detached,B4C,0.051018
509900,3,2,Apartment,1,Halifax,Condominium/Strata,'under 1/2 acre',2003,1632,?,B3M,0
484500,3,3,House,2,Plymouth,Freehold,'under 1/2 acre',2007,2760,Detached,B2H,0.047061
500000,3,4,House,2,Lucasville,Freehold,'1 - 3 acres',2002,2430,Detached,B4B,0
467000,2,2,Apartment,1,Halifax,Condominium/Strata,'under 1/2 acre',1990,1084,?,B3N,0.07862
349900,3,2,House,2,Dartmouth,Freehold,'under 1/2 acre',?,1572,Detached,B2Y,0
499000,2,1,House,1,'Blue Rocks',Freehold,'3 - 10 acres',1989,980,Detached,B0J,0
599000,3,2,House,2,'Garden Lots',Freehold,'under 1/2 acre',1880,1667,Detached,B0J,0
999000,3,3,'Row / Townhouse',2,Halifax,Condominium/Strata,?,1999,2065,?,B3N,0.07555
699900,3,2,House,2,'Pleasant Point',Freehold,'1 - 3 acres',2007,1604,Detached,B0J,0.241817
437000,3,2,House,2,Wilmot,Freehold,'10 - 49 acres',1989,2208,Detached,B0P,0
129900,1,1,House,1,Burlington,Freehold,'1 - 3 acres',?,632,Detached,B0P,0.113412
324900,1,1,House,1,Wittenburg,Freehold,'10 - 49 acres',?,720,Detached,B0N,0
229000,3,2,House,2,'New Glasgow',Freehold,'under 1/2 acre',?,1352,Detached,B2H,1.694118
350000,6,2,House,2,Hantsport,Freehold,'under 1/2 acre',?,2156,Detached,B0P,0
485000,4,2,House,1,Kingston,Freehold,'under 1/2 acre',2018,1950,Detached,B0P,0
729900,6,4,House,2,Dartmouth,Freehold,'under 1/2 acre',2002,5400,Detached,B2W,0
279900,3,1,House,1,'West Dover',Freehold,'1/2 - 1 acre',1978,1560,Detached,B3Z,0
159900,2,1,'Mobile Home',1,Bridgewater,Leasehold,?,1997,976,?,B4V,0
469000,4,3,House,3,Brooklyn,Freehold,'1/2 - 1 acre',1871,2787,Detached,B0J,1.68
799900,8,8,House,3,Liverpool,Freehold,'under 1/2 acre',1895,4116,Detached,B0T,0
499900,4,2,House,1,Bedford,Freehold,'under 1/2 acre',1977,1629,Detached,B4A,0.045591
355000,4,3,House,1,Centreville,Freehold,'under 1/2 acre',?,2092,Detached,B0P,0.070593
250000,4,1,House,1,'West Gore',Freehold,'1 - 3 acres',1980,1230,Detached,B0N,0
699900,4,3,House,1,'Port Dufferin',Freehold,'100+ acres',2006,2640,Detached,B0J,0
224900,3,1,House,2,Milford,Freehold,'under 1/2 acre',?,1450,Detached,B0N,0
204900,3,1,House,1,'Gays River',Freehold,'1 - 3 acres',1986,1676,Detached,B0N,0
749900,4,2,House,2,Wedgewood,Freehold,'under 1/2 acre',1984,3600,Detached,B3M,0
929000,4,4,House,2,'West Bedford',Freehold,'1/2 - 1 acre',2017,3208,Detached,B4B,0.095084
649900,6,2,Duplex,1,Bedford,Freehold,'under 1/2 acre',1992,2400,'Up and down',B4A,0
1680000,3,3,House,2,'Musquodoboit Harbour',Freehold,'3 - 10 acres',2001,5028,Detached,B0J,0
1398000,5,3,House,2,Halifax,Freehold,'under 1/2 acre',1936,3340,Detached,B3H,0
599900,4,4,House,2,Fairview,Freehold,'under 1/2 acre',1945,3250,Detached,B3N,0
765000,3,4,House,2,Dartmouth,Freehold,'under 1/2 acre',1970,2925,Detached,B3A,0
379900,3,2,House,1,'Lower Sackville',Freehold,'under 1/2 acre',1976,1553,Detached,B4C,0
499900,3,4,'Row / Townhouse',2,'Middle Sackville',Freehold,'under 1/2 acre',2015,1738,?,B4E,0
489000,3,2,Duplex,2,'Musquodoboit Harbour',Freehold,'under 1/2 acre',1979,1730,'Up and down',B0J,0.088374
599900,3,2,House,1,Springfield,Freehold,'1 - 3 acres',2010,2133,Detached,B0R,0.208779
189900,4,1,House,2,Canning,Freehold,'under 1/2 acre',?,1792,Detached,B0P,0.061579
399900,2,2,House,1,Bedford,Freehold,'1/2 - 1 acre',1952,851,Detached,B4A,0.259869
324900,2,2,House,1,Cambridge,Freehold,'under 1/2 acre',2013,1049,Semi-detached,B0P,0
499900,4,4,House,2,Halifax,Freehold,'under 1/2 acre',1997,2168,Semi-detached,B3M,0
869900,4,2,House,2,Halifax,Freehold,'under 1/2 acre',1925,2262,Detached,B3H,0
